model,dataset,lookback,horizon,RMSE,sMAPE,MASE,MAE,Bias
chronos,etth1,96,24,2.9071,37.1841,1.1015,2.1796,0.74
chronos,exchange,96,96,0.0116,1.869,2.5692,0.0096,0.0
chronos,m4,30,14,216.7476,3.1209,1.2116,184.4261,-63.05
chronos,traffic,168,168,0.0238,17.2092,0.7287,0.0116,0.0
timesfm25,etth1,96,24,2.9498,33.7021,1.0463,1.9626,0.99
timesfm25,exchange,96,96,0.0114,1.8161,2.1666,0.0098,-0.01
timesfm25,m4,30,14,217.8804,3.1441,1.2343,185.9443,-66.43
timesfm25,traffic,168,168,0.0192,17.5665,0.6206,0.0097,0.0
